 results from MacCormack two step scheme
 cfl=  0.600000024     n=           1 time step size=  0.600000024    
     X          Numerical solution     Analytical solution
 0.0000000000      -0.4034126401          -0.3090961576
 1.0000000000      -0.5414956808          -0.4540607035
 2.0000000000      -0.6662460566          -0.5878452063
 3.0000000000      -0.7745919228          -0.7071558237
 4.0000000000      -0.8638656139          -0.8090551496
 5.0000000000      -0.9318695068          -0.8910338283
 6.0000000000      -0.9769294262          -0.9510737658
 7.0000000000      -0.9979350567          -0.9876963496
 8.0000000000      -0.9943671823          -1.0000000000
 9.0000000000      -0.9663139582          -0.9876818061
10.0000000000      -0.9144700170          -0.9510450959
11.0000000000      -0.8401144743          -0.8909918070
12.0000000000      -0.7450737953          -0.8090006113
13.0000000000      -0.6316785216          -0.7070903778
14.0000000000      -0.5027136803          -0.5877702832
15.0000000000      -0.3613569438          -0.4539780915
16.0000000000      -0.2110979259          -0.3090081811
17.0000000000      -0.0556459948          -0.1564298868
18.0000000000       0.1011665612           0.0000000000
19.0000000000       0.2554791570           0.1564298868
20.0000000000       0.4034952521           0.3090081811
21.0000000000       0.5415734053           0.4539780915
22.0000000000       0.6663156748           0.5877702832
23.0000000000       0.7746515274           0.7070903778
24.0000000000       0.8639140725           0.8090006113
25.0000000000       0.9319054484           0.8909918070
26.0000000000       0.9769514799           0.9510450959
27.0000000000       0.9979430437           0.9876818061
28.0000000000       0.9943634868           1.0000000000
29.0000000000       0.9663007855           0.9876963496
30.0000000000       0.9144460559           0.9510737658
31.0000000000       0.8400760293           0.8910338283
32.0000000000       0.7450216413           0.8090551496
33.0000000000       0.6316233277           0.7071558237
34.0000000000       0.5026732087           0.5878452063
35.0000000000       0.3613463938           0.4540607035
36.0000000000       0.2111226618           0.3090961576
37.0000000000       0.0557007566           0.1565213352
38.0000000000      -0.1010927111           0.0000926574
39.0000000000      -0.2553969920          -0.1563383043
40.0000000000      -0.4034132361          -0.3089199364
