 results from 4th order Runge-Kutta scheme
 cfl=   3.00000000     n=           1 time step size=   3.00000000    
     X          Numerical solution     Analytical solution
 0.0000000000      -0.3207930624          -0.3090961576
 1.0000000000      -0.4649392962          -0.4540607035
 2.0000000000      -0.5974601507          -0.5878452063
 3.0000000000      -0.7154312134          -0.7071558237
 4.0000000000      -0.8159460425          -0.8090551496
 5.0000000000      -0.8962272406          -0.8910338283
 6.0000000000      -0.9542955160          -0.9510737658
 7.0000000000      -0.9889752269          -0.9876963496
 8.0000000000      -0.9994252920          -1.0000000000
 9.0000000000      -0.9851940870          -0.9876818061
10.0000000000      -0.9466066360          -0.9510450959
11.0000000000      -0.8847495914          -0.8909918070
12.0000000000      -0.8011761904          -0.8090006113
13.0000000000      -0.6978558302          -0.7070903778
14.0000000000      -0.5772982836          -0.5877702832
15.0000000000      -0.4425192773          -0.4539780915
16.0000000000      -0.2968650758          -0.3090081811
17.0000000000      -0.1439034343          -0.1564298868
18.0000000000       0.0126152039           0.0000000000
19.0000000000       0.1688299775           0.1564298868
20.0000000000       0.3208698034           0.3090081811
21.0000000000       0.4650426507           0.4539780915
22.0000000000       0.5976642966           0.5877702832
23.0000000000       0.7157378197           0.7070903778
24.0000000000       0.8159595728           0.8090006113
25.0000000000       0.8963543177           0.8909918070
26.0000000000       0.9543647170           0.9510450959
27.0000000000       0.9892859459           0.9876818061
28.0000000000       0.9993833899           1.0000000000
29.0000000000       0.9852699041           0.9876963496
30.0000000000       0.9465906620           0.9510737658
31.0000000000       0.8849834204           0.8910338283
32.0000000000       0.8010798097           0.8090551496
33.0000000000       0.6978632808           0.7071558237
34.0000000000       0.5772659779           0.5878452063
35.0000000000       0.4427236319           0.4540607035
36.0000000000       0.2967411876           0.3090961576
37.0000000000       0.1439454854           0.1565213352
38.0000000000      -0.0125751495           0.0000926574
39.0000000000      -0.1685741842          -0.1563383043
40.0000000000      -0.3209783137          -0.3089199364
