 results from MacCormack two step scheme
 cfl=   1.00000000     n=           1 time step size=   1.00000000    
     X          Numerical solution     Analytical solution
 0.0000000000      -0.3089199066          -0.3090961576
 1.0000000000      -0.4538955390          -0.4540607035
 2.0000000000      -0.5876951218          -0.5878452063
 3.0000000000      -0.7070248127          -0.7071558237
 4.0000000000      -0.8089461327          -0.8090551496
 5.0000000000      -0.8909496069          -0.8910338283
 6.0000000000      -0.9510162473          -0.9510737658
 7.0000000000      -0.9876672029          -0.9876963496
 8.0000000000      -0.9999992847          -1.0000000000
 9.0000000000      -0.9877104759          -0.9876818061
10.0000000000      -0.9511015415          -0.9510450959
11.0000000000      -0.8910744190          -0.8909918070
12.0000000000      -0.8091068268          -0.8090006113
13.0000000000      -0.7072157264          -0.7070903778
14.0000000000      -0.5879083872          -0.5877702832
15.0000000000      -0.4541202784          -0.4539780915
16.0000000000      -0.3091379404          -0.3090081811
17.0000000000      -0.1565201879          -0.1564298868
18.0000000000       0.0000000000           0.0000000000
19.0000000000       0.1564298868           0.1564298868
20.0000000000       0.3090081811           0.3090081811
21.0000000000       0.4539786279           0.4539780915
22.0000000000       0.5877702832           0.5877702832
23.0000000000       0.7070903778           0.7070903778
24.0000000000       0.8090006113           0.8090006113
25.0000000000       0.8909918070           0.8909918070
26.0000000000       0.9510450363           0.9510450959
27.0000000000       0.9876818061           0.9876818061
28.0000000000       1.0000000000           1.0000000000
29.0000000000       0.9876963496           0.9876963496
30.0000000000       0.9510737658           0.9510737658
31.0000000000       0.8910337687           0.8910338283
32.0000000000       0.8090551496           0.8090551496
33.0000000000       0.7071558237           0.7071558237
34.0000000000       0.5878452063           0.5878452063
35.0000000000       0.4540607035           0.4540607035
36.0000000000       0.3090961576           0.3090961576
37.0000000000       0.1565213352           0.1565213352
38.0000000000       0.0000926554           0.0000926574
39.0000000000      -0.1563383043          -0.1563383043
40.0000000000      -0.3089199066          -0.3089199364
